NOC,Rank,Gold,Silver,Bronze,Total,Rank by Total
United States of America,1,39,41,33,113,1
China,2,38,32,18,88,2
Japan,3,27,14,17,58,5
Great Britain,4,22,21,22,65,4
ROC,5,20,28,23,71,3
Australia,6,17,7,22,46,6
Netherlands,7,10,12,14,36,9
France,8,10,12,11,33,10
Germany,9,10,11,16,37,8
Italy,10,10,10,20,40,7
Canada,11,7,6,11,24,11
Brazil,12,7,6,8,21,12
New Zealand,13,7,6,7,20,13
Cuba,14,7,3,5,15,18
Hungary,15,6,7,7,20,13
Republic of Korea,16,6,4,10,20,13
Poland,17,4,5,5,14,19
Czech Republic,18,4,4,3,11,23
Kenya,19,4,4,2,10,25
Norway,20,4,2,2,8,29
Jamaica,21,4,1,4,9,26
Spain,22,3,8,6,17,17
Sweden,23,3,6,0,9,26
Switzerland,24,3,4,6,13,20
Denmark,25,3,4,4,11,23
Croatia,26,3,3,2,8,29
Iran,27,3,2,2,7,33
Serbia,28,3,1,5,9,26
Belgium,29,3,1,3,7,33
Bulgaria,30,3,1,2,6,39
Slovenia,31,3,1,1,5,42
Uzbekistan,32,3,0,2,5,42
Georgia,33,2,5,1,8,29
Taiwan,34,2,4,6,12,22
Turkey,35,2,2,9,13,20
Greece,36,2,1,1,4,47
Uganda,36,2,1,1,4,47
Ecuador,38,2,1,0,3,60
Ireland,39,2,0,2,4,47
Israel,39,2,0,2,4,47
Qatar,41,2,0,1,3,60
Bahamas,42,2,0,0,2,66
Kosovo,42,2,0,0,2,66
Ukraine,44,1,6,12,19,16
Belarus,45,1,3,3,7,33
Romania,46,1,3,0,4,47
Venezuela,46,1,3,0,4,47
India,48,1,2,4,7,33
Hong Kong,49,1,2,3,6,39
Philippines,50,1,2,1,4,47
Slovakia,50,1,2,1,4,47
South Africa,52,1,2,0,3,60
Austria,53,1,1,5,7,33
Egypt,54,1,1,4,6,39
Indonesia,55,1,1,3,5,42
Ethiopia,56,1,1,2,4,47
Portugal,56,1,1,2,4,47
Tunisia,58,1,1,0,2,66
Estonia,59,1,0,1,2,66
Fiji,59,1,0,1,2,66
Latvia,59,1,0,1,2,66
Thailand,59,1,0,1,2,66
Bermuda,63,1,0,0,1,77
Morocco,63,1,0,0,1,77
Puerto Rico,63,1,0,0,1,77
Colombia,66,0,4,1,5,42
Azerbaijan,67,0,3,4,7,33
Dominican Republic,68,0,3,2,5,42
Armenia,69,0,2,2,4,47
Kyrgyzstan,70,0,2,1,3,60
Mongolia,71,0,1,3,4,47
Argentina,72,0,1,2,3,60
San Marino,72,0,1,2,3,60
Jordan,74,0,1,1,2,66
Malaysia,74,0,1,1,2,66
Nigeria,74,0,1,1,2,66
Bahrain,77,0,1,0,1,77
Saudi Arabia,77,0,1,0,1,77
Lithuania,77,0,1,0,1,77
North Macedonia,77,0,1,0,1,77
Namibia,77,0,1,0,1,77
Turkmenistan,77,0,1,0,1,77
Kazakhstan,83,0,0,8,8,29
Mexico,84,0,0,4,4,47
Finland,85,0,0,2,2,66
Botswana,86,0,0,1,1,77
Burkina Faso,86,0,0,1,1,77
Côte d'Ivoire,86,0,0,1,1,77
Ghana,86,0,0,1,1,77
Grenada,86,0,0,1,1,77
Kuwait,86,0,0,1,1,77
Republic of Moldova,86,0,0,1,1,77
Syria,86,0,0,1,1,77